std_name,capacity_mw,latitude,longitude,std_fuel,commissioning_year
A Lin,62,,,Hydro,2018
A Luoi,170,16.2839,107.3589,Hydro,2012
A Roang,7.2,16.12,107.38,Hydro,2013
A Vuong,210,15.7998,107.6171,Hydro,2008
Alin B1,42,16.4042,107.1914,Hydro,2019
Alternative energy sources,520,,,Renewable,2018
Alternative energy sources,3530,,,Renewable,2030
Alternative energy sources,3350,,,Renewable,2029
Alternative energy sources,3240,,,Renewable,2028
Alternative energy sources,2910,,,Renewable,2027
Alternative energy sources,2160,,,Renewable,2026
Alternative energy sources,1800,,,Renewable,2025
Alternative energy sources,1200,,,Renewable,2022
Alternative energy sources,1200,,,Renewable,2024
Alternative energy sources,1000,,,Renewable,2023
Alternative energy sources,790,,,Renewable,2021
Alternative energy sources,450,,,Renewable,2019
Alternative energy sources,470,,,Renewable,2020
Alternative energy sources,360,,,Renewable,2017
Alternative energy sources,260,,,Renewable,2016
Amata,13,10.9471,106.9,Oil,
An Diem 2,15.6,19.1995,108.083,Hydro,2010
An Khanh,120,21.5969,105.767,Coal,2015
An Khe,160,14.0148,108.6796,Hydro,2009
Ayun Ha,3,13.5809,108.2592,Hydro,
Ayun Pa Sugar-Cane,20,13.4259,108.4242,Biomass,2010
Ayun Thuong 1A,12,13.9181,108.2333,Hydro,2012
Ba Ria,389,10.4891,107.17,Gas,1993
Ba Thuoc 1,60,20.3122,105.1619,Hydro,2013
Ba Thuoc 2,80,20.3222,105.3217,Hydro,2012
Bac Ai,600,,,Hydro,2023
Bac Ai,600,,,Hydro,2025
Bac Binh,34,11.3711,108.33,Hydro,2009
Bac Ha,90,22.3024,104.1142,Hydro,2011
Bac Lieu,99.2,9.1207,105.4445,Wind,2012
Bac Lieu 1,600,,,Coal,2029
Bac Lieu 1,600,,,Coal,2030
Bac Me,45.5,22.7369,105.3844,Hydro,2014
Ban Chat,220,21.8612,103.8286,Hydro,2013
Ban Coc,18,19.5894,104.8749,Hydro,2009
Ban Mong (Song Hieu),60,,,Hydro,2022
Ban Nhung Small,11,22.0028,106.5875,Hydro,2013
Ban Ra,18,22.8439,106.6917,Hydro,2012
Ban Ve,320,19.3404,104.4873,Hydro,2010
Bao Lam 3,46,23.0047,105.2912,Hydro,2019
Bao Nhai,14,22.4435,104.2517,Hydro,2012
Bau Can,0.215,,,Hydro,
Bauxit Aluminum Factory,30,,,Oil,
Bien Ho,0.225,,,Hydro,
Binh Dien,44,16.3172,107.5028,Hydro,2009
Binh Thuan,30,11.12,108.4,Wind,2009
Bourbon,24,10.613,106.49,Oil,1997
Bu Ca Mau,4,11.8713,106.9768,Hydro,2009
Buon Kuop,280,12.5305,107.9243,Hydro,2011
BuonTua Srah,86,12.2852,108.0383,Hydro,2009
Ca Du,2.6,15.2714,108.5186,Hydro,2005
Ca Mau 1,750,9.242,105.06,Gas,2008
Ca Mau 2,750,9.242,105.06,Gas,2008
Cai Lan,39,20.9861,107.03,Oil,2007
Cam Pha,670,21.0063,107.36,Coal,2011
Cam Pha 3,440,,,Coal,2020
Cam Ranh Baggasse,11,12.0335,109.1788,Biomass,1999
Cam Son,4.5,21.5438,106.5105,Hydro,1973
Can Don,78,11.9689,106.8435,Hydro,2004
Can Tho,185,10.1,105.72,Oil,1993
Cao Ngan,115,21.613,105.82,Coal,2006
Chau Thon,18,19.36,104.47,Hydro,2011
Chi Khe,41,19.083,104.8,Hydro,2014
Chiem Hoa,48,22.2056,105.3294,Hydro,2012
Chieng Cong 1,4,21.4707,104.1852,Hydro,
Chieng Cong 2,8,21.4572,104.2104,Hydro,
Chieng Ngam Thuong,10,21.475,103.7778,Hydro,2013
Chu Linh And Coc San,40.7,22.4119,103.8974,Hydro,2016
Coc Dam,7.5,22.4431,104.3175,Hydro,2010
Coc Ly,90,22.2985,103.1613,Hydro,2012
Coc San,30,22.4144,103.9066,Hydro,2016
Cong Thanh,600,,,Coal,2020
Cua Dat,97,19.8782,105.2731,Hydro,2010
Da Dang 2,34,11.6952,108.2442,Hydro,2010
Da Dang-Dachomo,23,11.5809,108.3311,Hydro,2014
Da Den,9,12.9183,109.1453,Hydro,2011
Da Kai,6,12.0838,108.5953,Hydro,
Da Mi,175,11.336,107.935,Hydro,2001
Da Nhim,160,11.8529,108.6058,Hydro,1964
Da Nhim Extension,45,11.5013,108.4052,Hydro,2017
Da Nhim Thuong 2,7.5,12.1161,108.5852,Hydro,2010
Dac Me,5,12.1333,108.313,Hydro,2011
Dai Nga,10,11.4219,107.8754,Hydro,2015
Dai Ninh,300,11.6499,108.3202,Hydro,2008
Dak Doa,14,14.1958,108.105,Hydro,2010
Dak Glun,18,12.0225,107.1783,Hydro,2011
Dak Glun 2 And 3,11,12.0925,107.3464,Hydro,2012
Dak Gret,3.6,,,Hydro,2015
Dak Hnol,2.1,13.9375,108.2139,Hydro,2011
Dak Lay,3.2,14.7979,108.0074,Hydro,2015
Dak Lo,22,14.7306,108.3319,Hydro,2016
Dak Me 1,4,12.1375,108.3222,Hydro,2012
Dak Mek 3,7.5,15.091,107.5328,Hydro,2012
Dak Mi 1,54,15.215,107.8192,Hydro,2018
Dak Mi 2,98,15.2961,107.8161,Hydro,2016
Dak Mi 3,63,15.3375,107.8326,Hydro,2016
Dak Mi 4,208,15.4575,107.9155,Hydro,2012
Dak N'Teng,10,12.2167,107.9792,Hydro,2011
Dak Ne,8.1,14.6164,108.154,Hydro,2010
Dak Nong 1,1.8,,,Hydro,
Dak Nong 2,14.63,11.9433,107.6667,Hydro,2016
Dak Pi Hao 4,9,,,Hydro,
Dak Pia,2.2,14.6651,108.1593,Hydro,2012
Dak Po Ne,15.6,14.5759,108.3049,Hydro,2009
Dak Po Ne 2,3.6,14.526,108.2992,Hydro,2008
Dak Pone,15.6,14.34,108.1821,Hydro,2011
Dak Pring,7.5,15.6181,107.5528,Hydro,2017
Dak Psi 3,15,14.6613,107.9367,Hydro,2012
Dak Psi 3 And 4,45,14.775,107.9972,Hydro,2011
Dak Psi 4,30,14.7684,108.0027,Hydro,2010
Dak Psi 5,10,14.6592,107.9347,Hydro,2014
Dak Re,60,,,Hydro,2022
Dak Ro Sa,7.5,14.7473,107.8358,Hydro,2007
Dak Rong 4,21,16.363,106.521,Hydro,2013
Dak Ru,7.5,11.9522,107.4042,Hydro,2008
Dak Rung,8,12.1538,107.6237,Hydro,2010
Dak Rung 1,5,12.125,107.6333,Hydro,2010
Dak Sin 1,27,11.8186,107.459,Hydro,2015
Dak Srong,18,13.7659,108.5236,Hydro,2010
Dak Srong 2,24,13.6958,108.5583,Hydro,2010
Dak Srong 2A,18,13.6944,108.565,Hydro,2011
Dak Srong 3A,10.2,13.3508,108.5306,Hydro,2014
Dak Srong 3B,19.5,13.3222,108.5167,Hydro,2012
Dak Ter 1,3.6,,,Hydro,2015
Dak U,2.4,,,Hydro,2009
Dakdrinh,125,15.0156,108.3953,Hydro,2014
Dakr'tih,144,11.9131,107.6717,Hydro,2011
Dakrong 2,18,16.3924,106.4839,Hydro,2013
Dakrong 3,8,16.5306,106.9611,Hydro,2012
Dakrosa2,2.4,14.7178,107.8194,Hydro,
Dam'Bri,75,11.5272,107.6467,Hydro,2012
Dam'Bri 1,9,11.6083,107.72,Hydro,2014
Dasiat,13.5,11.8443,107.622,Hydro,2011
Dinh Binh,9.9,14.1565,108.7727,Hydro,2008
Doc Cay,15,19.9593,105.2661,Hydro,2011
Don Duong,300,,,Hydro,2030
Dong Chum 2,9.2,20.5659,104.5728,Hydro,2013
Dong Nai 2,70,11.7233,108.0192,Hydro,2015
Dong Nai 3,180,11.8722,107.8887,Hydro,2011
Dong Nai 4,340,11.8856,107.6706,Hydro,2012
Dong Nai 5,150,11.792,107.553,Hydro,2015
Dong Ngai,8,21.2817,104.3306,Hydro,2015
Dong Phu Yen,300,,,Hydro,2028
Dong Phu Yen,300,,,Hydro,2029
Dong Phu Yen,300,,,Hydro,2030
Dray H'Linh 1,12,12.6712,107.9075,Hydro,1990
Dray H'Linh 2,16,12.6757,107.9041,Hydro,2007
Dung Quat 1,750,,,Gas,2023
Dung Quat 2,750,,,Gas,2024
Dung Quat Oil Refinery,104,15.354849,108.822418,Oil,2009
Duyen Hai 1,1245,9.583,106.52,Coal,2015
Duyen Hai 2,1200,,,Coal,2021
Duyen Hai 3,1245,9.5867,106.53,Coal,2017
Duyen Hai 3 Extension,688,,,Coal,2020
