std_name,base_name,std_fuel,capacity_mw,planned_year
A Lin,A Lin,Hydro,62,2018
Alternative energy sources,"Năng lượng tái tạo (thủy điện nhỏ, điện gió, mặt trời, sinh khối v.v..)",Renewable,260,2016
Alternative energy sources,"Năng lượng tái tạo (thủy điện nhỏ, điện gió, mặt trời, sinh khối v.v..)",Renewable,360,2017
Alternative energy sources,"Năng lượng tái tạo (thủy điện nhỏ, điện gió, mặt trời, sinh khối v.v..)",Renewable,520,2018
Alternative energy sources,"Năng lượng tái tạo (thủy điện nhỏ, điện gió, mặt trời, sinh khối v.v..)",Renewable,450,2019
Alternative energy sources,"Năng lượng tái tạo (thủy điện nhỏ, điện gió, mặt trời, sinh khối v.v..)",Renewable,470,2020
Alternative energy sources,"Năng lượng tái tạo (thủy điện nhỏ, điện gió, mặt trời, sinh khối v.v..)",Renewable,790,2021
Alternative energy sources,"Năng lượng tái tạo (thủy điện nhỏ, điện gió, mặt trời, sinh khối v.v..)",Renewable,1200,2022
Alternative energy sources,"Năng lượng tái tạo (thủy điện nhỏ, điện gió, mặt trời, sinh khối v.v..)",Renewable,1000,2023
Alternative energy sources,"Năng lượng tái tạo (thủy điện nhỏ, điện gió, mặt trời, sinh khối v.v..)",Renewable,1200,2024
Alternative energy sources,"Năng lượng tái tạo (thủy điện nhỏ, điện gió, mặt trời, sinh khối v.v..)",Renewable,1800,2025
Alternative energy sources,"Năng lượng tái tạo (thủy điện nhỏ, điện gió, mặt trời, sinh khối v.v..)",Renewable,2160,2026
Alternative energy sources,"Năng lượng tái tạo (thủy điện nhỏ, điện gió, mặt trời, sinh khối v.v..)",Renewable,2910,2027
Alternative energy sources,"Năng lượng tái tạo (thủy điện nhỏ, điện gió, mặt trời, sinh khối v.v..)",Renewable,3240,2028
Alternative energy sources,"Năng lượng tái tạo (thủy điện nhỏ, điện gió, mặt trời, sinh khối v.v..)",Renewable,3350,2029
Alternative energy sources,"Năng lượng tái tạo (thủy điện nhỏ, điện gió, mặt trời, sinh khối v.v..)",Renewable,3530,2030
An Khe,An Khê #1,Biomass,55,2017
An Khe,An Khê #2,Biomass,55,2018
Ba Thuoc 1,Bá Thước 1,Hydro,60,2016
Bac Ai,"Bác Ái #1,2",Hydro,600,2023
Bac Ai,"Bác Ái #3,4",Hydro,600,2025
Bac Lieu,Bạc Liêu giai đoạn III,Wind,142,2018
Bac Lieu 1,Bạc Liêu I #1 (*),Coal,600,2029
Bac Lieu 1,Bạc Liêu I #2 (*),Coal,600,2030
Bac Me,Bắc Mê,Hydro,45,2016
Ban Mong (Song Hieu),Băn Mống (Sống Hiều),Hydro,60,2022
Bao Lam 3,Bảo Lâm 3,Hydro,46,2019
Cam Pha 3,"Cẩm Phả III #1,2",Coal,440,2020
Chi Khe,Chi Khê,Hydro,41,2017
Cong Thanh,Công Thanh,Coal,600,2020
Da Nhim Extension,Đa Nhim mở rộng,Hydro,100,2018
Dak Mi 1,Đăk Mi 1,Hydro,54,2018
Dak Mi 2,Đăk Mi 2,Hydro,98,2016
Dak Mi 3,Đăk Mi 3,Hydro,45,2016
Dak Re,Đăk Re,Hydro,60,2022
Don Duong,Đồn Dương #1,Hydro,300,2030
Dong Phu Yen,Đồng Phù Yên #1,Hydro,300,2028
Dong Phu Yen,Đồng Phù Yên #2,Hydro,300,2029
Dong Phu Yen,Đồng Phù Yên #3,Hydro,300,2030
Dung Quat 1,Dung Quất I,Gas,750,2023
Dung Quat 2,Dung Quất II,Gas,750,2024
Duyen Hai 2,"Duyên Hải II #1,2",Coal,1200,2021
Duyen Hai 3,Duyên Hải III #1,Coal,600,2016
Duyen Hai 3,Duyên Hải III #2,Coal,600,2017
Duyen Hai 3 Extension,Duyên Hải III mở rộng,Coal,660,2019
Formosa Dong Nai,Formosa Đồng Nai #3,Coal,150,2016
Formosa Ha Tinh,Formosa Hà Tĩnh #2,Coal,150,2016
Formosa Ha Tinh,"Formosa Hà Tĩnh #3,4",Coal,200,2016
Formosa Ha Tinh,Formosa Hà Tĩnh #5,Coal,150,2016
