base_name,name,capacity_mw,latitude,longitude,primary_fuel,commissioning_year,_merge
A Luoi,A Luoi Hydro Power Project,170,16.2839,107.3589,Hydro,2012,both
A Roang,A Roang Hydropower Project,7.2,16.12,107.38,Hydro,2013,left_only
A Vuong,A Vuong,210,15.7998,107.6171,Hydro,2008,both
Alin B1,Alin B1 Hydropower Project,42,16.4042,107.1914,Hydro,2019,left_only
Amata,Amata,13,10.9471,106.9,Oil,,left_only
An Diem 2,An Diem 2 Hydropower Project,15.6,,,Hydro,2010,left_only
An Khanh,An Khanh,120,21.5969,105.767,Coal,2015,both
An Khe,An Khe,160,14.0148,108.6796,Hydro,2009,both
Ayun Ha,Ayun Ha,3,13.5809,108.2592,Hydro,,left_only
Ayun Pa Sugar-Cane,Ayun Pa sugar-cane,20,,,Biomass,,left_only
Ayun Thuong 1A,Ayun Thuong 1A Hydropower Project,12,13.9181,108.2333,Hydro,2012,left_only
Ba Ria,Ba Ria,389,10.4891,107.17,Gas,1993,left_only
Ba Thuoc 1,Ba Thuoc 1 Hydropower Project,60,20.3122,105.1619,Hydro,2013,both
Ba Thuoc 2,Ba Thuoc 2 Hydropower Project,80,20.3222,105.3217,Hydro,2012,both
Bac Binh,Bac Binh,34,11.3711,108.33,Hydro,2009,both
Bac Ha,Bac Ha Hydropower Project,90,22.3024,104.1142,Hydro,2011,both
Bac Lieu,Bac Lieu,99.2,9.1207,105.4445,Wind,2012,left_only
Bac Me,Bac Me Hydropower Project,45.5,22.7369,105.3844,Hydro,2014,both
Ban Chat,Ban Chat,220,21.8612,103.8286,Hydro,2013,both
Ban Coc,Ban Coc Hydropower Project,18,19.5894,104.8749,Hydro,2009,left_only
Ban Nhung Small,Ban Nhung Small Hydropower Project,11,22.0028,106.5875,Hydro,2013,left_only
Ban Ra,Ban Ra Hydropower Project,18,22.8439,106.6917,Hydro,2012,left_only
Ban Ve,Ban Ve,320,19.3404,104.4873,Hydro,2010,both
Bao Nhai,Bao Nhai Hydropower Project  Vietnam,14,22.4435,104.2517,Hydro,2012,left_only
Bau Can,Bau Can,0.215,,,Hydro,,left_only
Bauxit Aluminum Factory,Bauxit aluminum factory,30,,,Oil,,left_only
Bien Ho,Bien Ho,0.225,,,Hydro,,left_only
Binh Dien,Binh Dien,44,16.3172,107.5028,Hydro,2009,both
Binh Thuan,Wind Power Plant No.1 - Binh Thuan 30MW,30,11.12,108.4,Wind,2009,left_only
Bourbon,Bourbon,24,10.613,106.49,Oil,,left_only
Bu Ca Mau,Bu Ca Mau,4,11.8713,106.9768,Hydro,2009,left_only
Buon Kuop,Buon Kuop,280,12.5305,107.9243,Hydro,2011,both
BuonTua Srah,Buon Tua Srah,86,12.2852,108.0383,Hydro,2009,both
Ca Du,Ca Du,2.6,15.2714,108.5186,Hydro,2005,left_only
Ca Mau 1,Ca Mau 1,750,9.242,105.06,Gas,2008,both
Ca Mau 2,Ca Mau 2,750,9.242,105.06,Gas,2008,both
Cai Lan,Cai Lan,39,20.9861,107.03,Oil,,left_only
Cam Pha,Cam Pha,670,21.0063,107.36,Coal,2011,both
Cam Ranh Baggasse,Cam Ranh baggasse,11,,,Biomass,,left_only
Cam Son,Cam Son,4.5,21.5438,106.5105,Hydro,1973,left_only
Can Don,Can Don,78,11.9689,106.8435,Hydro,2004,both
Can Tho,Can Tho,185,10.1,105.72,Oil,,left_only
Cao Ngan,Cao Ngan,115,21.613,105.82,Coal,2006,both
Chau Thon,Chau Thon Hydropower Project,18,19.36,104.47,Hydro,2011,left_only
Chi Khe,Chi Khe Hydropower Project,41,104.8,19.083,Hydro,2014,both
Chiem Hoa,Chiem Hoa Hydropower Project,48,22.2056,105.3294,Hydro,2012,both
Chieng Cong,Chieng Cong Hydropower Project,11.4,,,Hydro,2010,left_only
Chieng Cong 1,Chieng Cong 1,4,21.4707,104.1852,Hydro,,left_only
Chieng Cong 2,Chieng Cong 2,8,21.4572,104.2104,Hydro,,left_only
Chieng Ngam Thuong,Chieng Ngam Thuong hydro-power,10,21.475,103.7778,Hydro,2013,left_only
Chu Linh And Coc San,Chu Linh and Coc San Hydropower Project,40.7,22.4119,103.8974,Hydro,2016,left_only
Coc Dam,Coc Dam Hydropower Project,7.5,22.4431,104.3175,Hydro,2010,left_only
Coc Ly,Coc Ly,90,22.2985,103.1613,Hydro,2012,left_only
Coc San,Coc San,30,22.4144,103.9066,Hydro,2016,left_only
Cua Dat,Cua Dat,97,19.8782,105.2731,Hydro,2010,both
Da Dang 2,Da Dang 2 Hydropower Project,34,11.6952,108.2442,Hydro,2010,both
