name,fuel,capacity_mw,owner,note
A Lưới,Thủy điện,170,Công ty CP Thủy điện Miền Trung,
A Vương,Thủy điện,210,Công ty CP Thủy điện A Vương,
An Khánh,NĐ Than,120,Công ty CP Nhiệt điện An Khánh,
An Khê,Thủy điện,160,Công ty Thủy điện An Khê – Kanak,
Bá Thước 1,Thủy điện,60,Công ty CP Thủy điện Hoàng Anh Thanh Hóa,
Bá Thước 2,Thủy điện,80,Công ty CP Thủy điện Hoàng Anh Thanh Hóa,
Bắc Bình,Thủy điện,34,Công ty CP Phát triển Điện lực Việt Nam,
Bắc Hà,Thủy điện,90,Công ty CP Thủy điện Bắc Hà,
Bắc Mê,Thủy điện,45.5,Tổng công ty CP Thương mại Xây dựng,
Bản Chát,Thủy điện,220,Công ty Thủy điện Huội Quảng - Bản Chát,Strategic importance (SMHP)
Bản Vẽ,Thủy điện,320,Công ty Thủy điện Bản Vẽ,
Bình Điền,Thủy điện,44,Công ty CP Thủy điện Bình Điền,
Buôn Kuôp,Thủy điện,280,Công ty Thủy điện Buôn Kuôp,
BuônTua Srah,Thủy điện,86,Công ty Thủy điện Buôn Kuôp,
Cà Mau 1,Tuabin khí,750,Công ty Điện lực Dầu khí Cà Mau,Nhận khí PM3 tối đa
Cà Mau 2,Tuabin khí,750,Công ty Điện lực Dầu khí Cà Mau,Nhận khí PM3 tối đa
Cẩm Phả,NĐ Than,670,Công ty CP Nhiệt điện Cẩm Phả,
Cần Đơn,Thủy điện,78,Công ty CP Thủy điện Cần Đơn,BOT
Cao Ngạn,NĐ Than,115,Công ty Nhiệt điện Cao Ngạn,
Chi Khê,Thủy điện,41,Công ty Cổ phần Năng lượng Agrita – Nghệ Tĩnh,Expected to enter market in 2019
Chiêm Hóa,Thủy điện,48,Công ty CP Đầu tư XD và TM quốc tế,Same level SMHP and supporting SMHP
Cửa Đạt,Thủy điện,97,Công ty CP Thủy điện Cửa Đạt,
Đa Dâng 2,Thủy điện,34,Công ty CP Thủy điện miền Nam,
Đa Mi,Thủy điện,175,Công ty CP Thủy điện Đa Nhim – Hàm Thuận – Đa Mi,
Đa Nhim,Thủy điện,160,Công ty CP Thủy điện Đa Nhim – Hàm Thuận – Đa Mi,
Đa Nhim MR,Thủy điện,45,Công ty CP Thủy điện Đa Nhim – Hàm Thuận – Đa Mi,Expected to enter market in 2020
Đại Ninh,Thủy điện,300,Công ty Thủy điện Đại Ninh,
Đăk Mi 3,Thủy điện,63,Công ty CP Thủy điện Đăk Mi,
"Đak Mi 4 (4A, 4B và 4C)",Thủy điện,208,Công ty CP Thủy điện Đăk Mi,
Đakđrinh,Thủy điện,125,Công ty CP Thủy điện Đakđrinh,
Đakr’tih,Thủy điện,144,Công ty CP Thủy điện Đakr’tih,
Đam'Bri,Thủy điện,75,Công ty CP Thủy điện miền Nam,
Đồng Nai 2,Thủy điện,70,Công ty CP Thủy điện Trung Nam,
Đồng Nai 3,Thủy điện,180,Công ty Thủy điện Đồng Nai,
Đồng Nai 4,Thủy điện,340,Công ty Thủy điện Đồng Nai,
Đồng Nai 5,Thủy điện,150,Công ty CP Thủy điện Đồng Nai 5,
Duyên Hải 1,NĐ Than,1245,Công ty Nhiệt điện Duyên Hải,
Duyên Hải 3,NĐ Than,1245,Công ty Nhiệt điện Duyên Hải,
Duyên Hải 3 MR,NĐ Than,688,Ban QLDA Nhiệt điện 3,Expected to enter market in 2021
Formosa Đồng Nai,NĐ Than,450,Công ty TNHH Hưng Nghiệp Formosa,NHÀ MÁY ĐIỆN THUỘC KHU CÔNG NGHIỆP BÁN ĐIỆN NĂNG DƯ
Formosa Hà Tĩnh,NĐ Than,676,Công ty TNHH gang thép Hưng Nghiệp Formosa Hà Tĩnh,NHÀ MÁY ĐIỆN THUỘC KHU CÔNG NGHIỆP BÁN ĐIỆN NĂNG DƯ
Hải Phòng,NĐ Than,1200,Công ty CP Nhiệt điện Hải Phòng,
Hàm Thuận,Thủy điện,300,Công ty CP Thủy điện Đa Nhim – Hàm Thuận – Đa Mi,
Hoà Bình,Thủy điện,1920,Công ty Thuỷ điện Hoà Bình,Strategic importance (SMHP)
Hồi Xuân,Thủy điện,102,Công ty CP Đầu tư và Xây dựng điện Hồi Xuân,Expected to enter market in 2022
Hủa Na,Thủy điện,180,Công ty CP Thủy điện Hủa Na,
Huội Quảng,Thủy điện,520,Công ty Thủy điện Huội Quảng - Bản Chát,Supporting SMHP
Hương Điền,Thủy điện,81,Công ty CP Đầu tư Hương Điền,
Hương Sơn,Thủy điện,33,Công ty CP Thủy điện Hương Sơn,
Ialy,Thủy điện,720,Công ty Thuỷ điện Ialy,Strategic importance (SMHP)
Kanak,Thủy điện,13,Công ty Thủy điện An Khê – Kanak,
Khe Bố,Thủy điện,100,Công ty CP Phát triển Điện lực Việt Nam,
Krông H’năng,Thủy điện,64,Công ty CP Sông Ba,
Lai Châu,Thủy điện,1200,Ban QLDA Thủy điện Sơn La – Lai Châu,Strategic importance (SMHP)
Mạo Khê,NĐ Than,440,Công ty Nhiệt điện Đông Triều,
Mông Dương,NĐ Than,1080,Công ty Nhiệt điện Mông Dương,
Mông Dương 2,NĐ Than,1200,Công ty TNHH Điện lực AES – TKV,BOT
Mường Hum,Thủy điện,32,Công ty TNHH MTV Thủy điện Mường Hum,
Na Dương,NĐ Than,111.2,Công ty Nhiệt điện Na Dương,
Nậm Chiến 1,Thủy điện,200,Công ty CP Thủy điện Nậm Chiến,
Nậm Chiến 2,Thủy điện,32,Công ty CP Đầu tư và Phát triển Điện Tây Bắc,
Nậm Mức,Thủy điện,44,Công ty CP Thủy điện Nậm Mức,
Nậm Na 2,Thủy điện,66,Công ty TNHH Xây dựng Hưng Hải,
Nậm Na 3,Thủy điện,84,Công ty TNHH Xây dựng Hưng Hải,
Nậm Phàng,Thủy điện,36,Công ty CP Năng lượng Bắc Hà,
Nậm Toóng,Thủy điện,34,Công ty TNHH MTV Thủy điện Sa Pa,
Nghi Sơn 1,NĐ Than,600,Công ty Nhiệt điện Nghi Sơn,Expected to enter market in 2023
Ngòi Phát,Thủy điện,72,Công ty CP Đầu tư và Phát triển Điện miền Bắc 2,
Nho Quế 1,Thủy điện,32,Công ty CP Thủy điện Nho Quế 1,
Nho Quế 2,Thủy điện,48,Công ty CP Đầu tư và Phát triển Điện Nho Quế,
Nho Quế 3,Thủy điện,110,Công ty CP Thủy điện Nho Quế 3,
Nhơn Trạch 1,Tuabin khí,450,Công ty Điện lực Dầu khí Nhơn Trạch,
Nhơn Trạch 2,Tuabin khí,750,Công ty CP Điện lực Dầu khí Nhơn Trạch 2,
Phả Lại 1,NĐ Than,440,Công ty CP Nhiệt điện Phả Lại,
Phả Lại 2,NĐ Than,600,Công ty CP Nhiệt điện Phả Lại,
Phú Mỹ 1,Tuabin khí,1059,Công ty Nhiệt điện Phú Mỹ,
Phú Mỹ 2.1,Tuabin khí,860,Công ty Nhiệt điện Phú Mỹ,
