base_name,fuel,name,capacity_mw,note,planned_year
A Lin,TĐ,TĐ A Lin,62,IPP,2018
An Khê #1,Điện sinh khối,Điện sinh khối An Khê #1,55,Cty CP Đường Quảng Ngãi,2017
An Khê #2,Điện sinh khối,Điện sinh khối An Khê #2,55,Cty CP Đường Quảng Ngãi,2018
Bá Thước 1,TĐ,TĐ Bá Thước 1,60,IPP,2016
"Bác Ái #1,2",TĐ,"TĐ Bác Ái #1,2",2x300,EVN,2023
"Bác Ái #3,4",TĐ,"TĐ Bác Ái #3,4",2x300,EVN,2025
Bạc Liêu giai đoạn III,Điện gió,Điện gió Bạc Liêu giai đoạn III,142,Cty TNHH XD - TM - DL Công Lý,2018
Bạc Liêu I #1 (*),NĐ,NĐ Bạc Liêu I #1 (*),600,,2029
Bạc Liêu I #2 (*),NĐ,NĐ Bạc Liêu I #2 (*),600,,2030
Bắc Mê,TĐ,TĐ Bắc Mê,45,IPP,2016
Băn Mống (Sống Hiều),TĐ,TĐ Băn Mống (Sống Hiều),60,IPP,2022
Bảo Lâm 3,TĐ,TĐ Bảo Lâm 3,46,IPP,2019
"Cẩm Phả III #1,2",NĐ,"NĐ Cẩm Phả III #1,2",2x220,Vinacomin,2020
Chi Khê,TĐ,TĐ Chi Khê,41,IPP,2017
Công Thanh,NĐ,NĐ Công Thanh,600,Cty Cổ phần Nhiệt điện Công Thanh,2020
Đa Nhim mở rộng,TĐ,TĐ Đa Nhim mở rộng,100,EVN,2018
Đăk Mi 1,TĐ,TĐ Đăk Mi 1,54,IPP,2018
Đăk Mi 2,TĐ,TĐ Đăk Mi 2,98,IPP,2016
Đăk Mi 3,TĐ,TĐ Đăk Mi 3,45,IPP,2016
Đăk Re,TĐ,TĐ Đăk Re,60,IPP,2022
Đồn Dương #1,TĐ,TĐ Đồn Dương #1,300,EVN,2030
Đồng Phù Yên #1,TĐ,TĐ Đồng Phù Yên #1,300,Cty Xuân Thiện,2028
Đồng Phù Yên #2,TĐ,TĐ Đồng Phù Yên #2,300,Cty Xuân Thiện,2029
Đồng Phù Yên #3,TĐ,TĐ Đồng Phù Yên #3,300,Cty Xuân Thiện,2030
Dung Quất I,TBKHH,TBKHH Dung Quất I,750,PVN,2023
Dung Quất II,TBKHH,TBKHH Dung Quất II,750,Sembcrop (BOT),2024
