std_name,name,type,note
A Lin,A Lin,Plant,
A Luoi,A Lưới,Plant,
A Vuong,A Vương,Plant,
An Khanh,An Khánh,Plant,
An Khe,An Khê,Plant,
Ba Thuoc 1,Bá Thước 1,Plant,
Ba Thuoc 2,Bá Thước 2,Plant,
Bac Binh,Bắc Bình,Plant,
Bac Ha,Bắc Hà,Plant,
Bac Lieu 1,Bạc Liêu I #1 (*),Plant,Unit 1
Bac Lieu 1,Bạc Liêu I #2 (*),Plant,Unit 2
Bac Me,Bắc Mê,Plant,
Ban Chat,Bản Chát,Plant,
Ban Mong (Song Hieu),Băn Mống (Sống Hiều),Plant,
Ban Ve,Bản Vẽ,Plant,
Bao Lam 3,Bảo Lâm 3,Plant,
Binh Dien,Bình Điền,Plant,
Buon Kuop,Buôn Kuôp,Plant,
BuonTua Srah,BuônTua Srah,Plant,
Ca Mau 1,Cà Mau 1,Plant,
Ca Mau 2,Cà Mau 2,Plant,
Cam Pha,Cẩm Phả,Plant,
Cam Pha 3,Cẩm Phả 3,Plant,
Cam Pha 3,"Cẩm Phả III #1,2",Plant,Unit 1 & 2
Can Don,Cần Đơn,Plant,
Cao Ngan,Cao Ngạn,Plant,
Chi Khe,Chi Khê,Plant,
Chiem Hoa,Chiêm Hóa,Plant,
Cong Thanh,Công Thanh,Plant,
Phu Tho,Phú Thọ,Plant,
Cua Dat,Cửa Đạt,Plant,
"Nam Cum 1, 4, 5","Nậm Củm 1,4,5",Plant,
"Nam Cum 2, 3, 6","Nậm Củm 2,3,6",Plant,
Da Dang 2,Đa Dâng 2,Plant,
Da Mi,Đa Mi,Plant,
Da Nhim,Đa Nhim,Plant,
Da Nhim Extension,Đa Nhim mở rộng,Plant,
Da Nhim Extension,Đa Nhim MR,Plant,
Dai Ninh,Đại Ninh,Plant,
Dak Mi 1,Đăk Mi 1,Plant,
Dak Mi 2,Đăk Mi 2,Plant,
Dak Mi 3,Đăk Mi 3,Plant,
Dak Mi 4,"Đak Mi 4 (4A, 4B và 4C)",Plant,
Dak Re,Đăk Re,Plant,
Dakdrinh,Đakđrinh,Plant,
Dakr'tih,Đakr’tih,Plant,
Dam'Bri,Đam'Bri,Plant,
Bac Lieu,Bạc Liêu giai đoạn III,Plant,
Hanbaram,Hanbaram,Plant,
Khai Long (Ca Mau),Khai Long (Cà Mau),Plant,
Soc Trang,Sóc Trăng,Plant,
Trung - Nam,Trung - Nam,Plant,
Ninh Thuan 1,Ninh Thuận I #1,Plant,Unit 1
Ninh Thuan 1,Ninh Thuận I #2,Plant,Unit 2
Ninh Thuan 2,Ninh Thuận II #1,Plant,Unit 1
Ninh Thuan 2,Ninh Thuận II #2,Plant,Unit 2
Thien Tan 1,Thiên Tân 1,Plant,
Thien Tan 2,Thiên Tân 2,Plant,
Thien Tan 3,Thiên Tân 3,Plant,
An Khe,An Khê #1,Plant,Unit 1
An Khe,An Khê #2,Plant,Unit 2
Dong Nai 2,Đồng Nai 2,Plant,
Dong Nai 3,Đồng Nai 3,Plant,
Dong Nai 4,Đồng Nai 4,Plant,
Dong Nai 5,Đồng Nai 5,Plant,
Hai Ha 1,Hải Hà 1,Plant,
Hai Ha 2,Hải Hà 2,Plant,
Hai Ha 3,Hải Hà 3,Plant,
Hai Ha 4,Hải Hà 4,Plant,
Rang Dong,Rạng Đông,Plant,
Dung Quat 1,Dung Quất 1,Plant,
Dung Quat 2,Dung Quất 2,Plant,
Dung Quat 3,Dung Quất 3,Plant,
Dung Quat 1,Dung Quất I,Plant,
Dung Quat 2,Dung Quất II,Plant,
Duyen Hai 1,Duyên Hải 1,Plant,
Duyen Hai 2,Duyên Hải 2,Plant,
Duyen Hai 3,Duyên Hải 3,Plant,
Duyen Hai 3 Extension,Duyên Hải 3 MR,Plant,
Duyen Hai 2,"Duyên Hải II #1,2",Plant,Unit 1 & 2
Duyen Hai 3,Duyên Hải III #1,Plant,Unit 1
Duyen Hai 3,Duyên Hải III #2,Plant,Unit 2
Duyen Hai 3 Extension,Duyên Hải III mở rộng,Plant,
Formosa Dong Nai,Formosa Đồng Nai,Plant,
Formosa Dong Nai,Formosa Đồng Nai #3,Plant,Unit 3
Formosa Ha Tinh,Formosa Hà Tĩnh,Plant,
Formosa Ha Tinh,Formosa Hà Tĩnh #10,Plant,Unit 10
Formosa Ha Tinh,Formosa Hà Tĩnh #2,Plant,Unit 2
Formosa Ha Tinh,"Formosa Hà Tĩnh #3,4",Plant,Unit 3 & 4
